_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627cab,Adele,Set Fire to the Rain,0.603,0.67,-3.882,0.0249,0.00408,0.00000166,0.112,0.445,107.995
6757c5642c5d5bfa07627d4c,Imagine Dragons,Radioactive,0.448,0.784,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245
6757c5642c5d5bfa07627942,Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,0.838,0.764,-5.076,0.0586,0.0862,0.000122,0.0906,0.924,133.592
6757c5642c5d5bfa07627c8a,Jennifer Lopez,On The Floor,0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130
6757c5642c5d5bfa07627965,Beyoncé,Crazy In Love (feat. Jay-Z),0.646,0.77,-6.596,0.226,0.00249,0,0.0715,0.681,99.165
6757c5642c5d5bfa07627d7a,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.853,0.693,-6.87,0.275,0.0239,0,0.11,0.662,95.967
6757c5642c5d5bfa07627abf,Kanye West,Touch The Sky,0.552,0.846,-4.912,0.342,0.0114,0,0.309,0.554,98.56
6757c5642c5d5bfa07627da5,Childish Gambino,3005,0.681,0.463,-6.542,0.289,0.128,0,0.0769,0.661,82.92
6757c5642c5d5bfa07627d03,Flo Rida,Good Feeling,0.706,0.89,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011
6757c5642c5d5bfa0762784c,Sonique,It Feels So Good,0.634,0.677,-7.278,0.0304,0.0117,0.00103,0.126,0.558,135.012
6757c5642c5d5bfa07627dcb,Calvin Harris,Blame (feat. John Newman),0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024
6757c5642c5d5bfa07627a4f,Gorillaz,DARE,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264
6757c5642c5d5bfa07627ea2,Flo Rida,My House,0.688,0.702,-4.792,0.0499,0.0215,0,0.128,0.74,94.006
6757c5642c5d5bfa07627d57,David Guetta,Play Hard (feat. Ne-Yo & Akon),0.691,0.921,-1.702,0.0533,0.173,0,0.331,0.8,130.072
6757c5642c5d5bfa076279c1,Good Charlotte,Lifestyles of the Rich & Famous,0.62,0.93,-3.685,0.0374,0.00043,0,0.0686,0.609,106.22
6757c5642c5d5bfa07627bf0,Drake,Forever,0.457,0.906,-2.278,0.342,0.249,0,0.182,0.54,104.02
6757c5642c5d5bfa076278af,Blue,All Rise,0.721,0.737,-2.734,0.0324,0.121,0,0.165,0.931,97.996
6757c5642c5d5bfa07627e24,Taylor Swift,Bad Blood,0.654,0.655,-7.388,0.106,0.0294,0,0.139,0.221,170.16
6757c5642c5d5bfa07627aae,Justin Timberlake,My Love (feat. T.I.),0.771,0.68,-5.881,0.224,0.277,0.0000118,0.682,0.808,119.952
6757c5642c5d5bfa07627ace,Lily Allen,Smile,0.632,0.639,-5.938,0.0259,0.00143,0,0.221,0.733,95.506
6757c5642c5d5bfa07627f6c,Tom Walker,Leave a Light On,0.586,0.624,-5.946,0.113,0.0153,0.00000178,0.133,0.267,68.976
6757c5642c5d5bfa0762786b,Sisqo,Incomplete,0.746,0.443,-7.693,0.0771,0.282,0,0.14,0.272,119.311
6757c5642c5d5bfa07627bce,Black Eyed Peas,Boom Boom Pow,0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048
6757c5642c5d5bfa07627a7f,Destiny's Child,Cater 2 U,0.605,0.584,-7.043,0.197,0.286,0,0.235,0.464,125.802
6757c5642c5d5bfa07627f9e,Khalid,Love Lies (with Normani),0.708,0.648,-5.626,0.0449,0.0956,0,0.134,0.338,143.955
6757c5642c5d5bfa07627fc5,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),0.581,0.662,-5.239,0.303,0.0153,0,0.111,0.434,93.023
6757c5642c5d5bfa07627a83,Eminem,Like Toy Soldiers,0.52,0.768,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178
6757c5642c5d5bfa076279a1,Electric Six,Danger! High Voltage - Soulchild Radio Mix,0.66,0.698,-4.722,0.0302,0.0000192,0.166,0.0517,0.511,123.005
6757c5642c5d5bfa07627fc0,Mabel,Don't Call Me Up,0.674,0.881,-2.853,0.147,0.296,0.00000301,0.0793,0.234,98.994
6757c5642c5d5bfa07627b9b,"H ""two"" O",What's It Gonna Be (feat. Platnum),0.733,0.9,-4.758,0.0341,0.0085,0.0218,0.151,0.937,139.61
6757c5642c5d5bfa07627e8e,Alok,Hear Me Now,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,0.461,121.996
6757c5642c5d5bfa076279be,Fabolous,Into You (feat. Tamia),0.546,0.538,-7.886,0.0523,0.233,0,0.118,0.58,182.12
6757c5642c5d5bfa07627eb6,Kygo,Stole the Show,0.678,0.633,-6.443,0.171,0.151,0,0.147,0.478,99.886
6757c5642c5d5bfa07627b34,T2,Heartbroken - Edit,0.716,0.757,-5.438,0.0329,0.0258,0.00392,0.16,0.877,139.986
6757c5642c5d5bfa07627845,Aaliyah,Try Again,0.797,0.622,-5.642,0.29,0.0807,0,0.0841,0.731,93.02
6757c5642c5d5bfa07627996,Mýa,My Love Is Like...Wo - Main Mix,0.831,0.695,-6.491,0.109,0.194,0.0000124,0.309,0.722,132.817
6757c5642c5d5bfa07627ad1,Mary J. Blige,One,0.344,0.874,-3.161,0.0777,0.0841,0,0.129,0.269,185.888
6757c5642c5d5bfa07627859,Montell Jordan,Get It On Tonite,0.813,0.491,-9.923,0.077,0.241,0.0000461,0.0817,0.868,99.008
