_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627899,Nelly,Country Grammar (Hot Shit),0.865,0.664,-6.822,0.108,0.00689,0,0.142,0.565,162.831
6757c5642c5d5bfa0762789a,Shaggy,It Wasn't Me,0.853,0.606,-4.596,0.0713,0.0561,0,0.313,0.654,94.759
6757c5642c5d5bfa0762789b,Destiny's Child,Survivor,0.514,0.911,-2.027,0.41,0.0559,0,0.775,0.619,161.109
6757c5642c5d5bfa0762789c,Eminem,Stan,0.78,0.768,-4.325,0.238,0.0371,0.00000234,0.518,0.507,80.063
6757c5642c5d5bfa0762789d,Kylie Minogue,Can't Get You out of My Head,0.766,0.563,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007
6757c5642c5d5bfa0762789e,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",0.76,0.801,-3.769,0.0534,0.0144,0.0000149,0.665,0.653,109.919
6757c5642c5d5bfa0762789f,Nelly Furtado,I'm Like A Bird,0.622,0.608,-5.085,0.036,0.138,0.00000538,0.273,0.607,89.661
6757c5642c5d5bfa076278a0,Shakira,"Whenever, Wherever",0.794,0.832,-4.862,0.0407,0.237,0.0000114,0.203,0.871,107.657
6757c5642c5d5bfa076278a1,Jimmy Eat World,The Middle,0.643,0.849,-5.428,0.0526,0.0371,0,0.058,0.903,162.152
6757c5642c5d5bfa076278a2,Train,Drops of Jupiter (Tell Me),0.481,0.638,-5.862,0.0276,0.153,0,0.154,0.497,79.064
6757c5642c5d5bfa076278a3,Geri Halliwell,It's Raining Men,0.637,0.929,-6.03,0.0447,0.063,0.00796,0.318,0.604,136.482
6757c5642c5d5bfa076278a4,Blu Cantrell,Hit 'Em Up Style (Oops!),0.667,0.773,-4.983,0.0586,0.201,0,0.404,0.667,89.976
6757c5642c5d5bfa076278a5,Britney Spears,I'm a Slave 4 U,0.847,0.843,-3.579,0.106,0.415,0.000134,0.107,0.963,110.027
6757c5642c5d5bfa076278a6,Kylie Minogue,In Your Eyes,0.689,0.894,-6.342,0.0672,0.133,0.0000472,0.0681,0.709,123.971
6757c5642c5d5bfa076278a7,Missy Elliott,One Minute Man (feat. Ludacris),0.622,0.669,-8.419,0.329,0.0266,0.00000297,0.152,0.57,93.839
